ship_type,ship_name,lon,lat,p_lon,p_lat,datetime,distance
Tanker,KEY FJORD,19.93015,54.63334,19.898,54.63268,2016-12-13T14:27:02Z,2072.8233041384733
Cargo,ARA ROTTERDAM,20.80787,55.61112,19.83046,55.00592,2016-12-14T19:23:06Z,91506.43368123205
Pleasure,KRUZENSHTERN,20.46729,54.69945,20.46726,54.69938,2016-12-18T11:49:02Z,8.027776469880129
Tug,LOTSMAN-3,20.12295,54.65893,19.851,54.70002,2016-12-15T20:29:03Z,18090.34403486289
Tanker,DEYMA,20.23329,54.68563,20.19122,54.68847,2016-12-17T17:51:04Z,2725.4910265475214
Tug,KUBAN,20.39023,54.98685,20.30837,54.98218,2016-12-17T10:11:03Z,5254.576841830769
Tanker,RAMAVA,20.16533,54.68336,20.23223,54.68563,2016-12-16T12:15:03Z,4312.518288455739
Tug,LIGER,20.19699,54.69183,20.19698,54.52992,2016-12-17T01:23:03Z,18023.73876586895
Tug,KENDRICK,19.81717,54.65533,20.22883,55.01933,2016-12-19T00:27:03Z,48356.6307091402
Tug,GLANFORD,19.90582,54.63375,19.9586,54.6391,2016-12-14T21:13:03Z,3452.2469041204067
Cargo,RUSICH-10,20.45387,54.69956,20.45422,54.69913,2016-12-13T13:49:02Z,52.89801606101671
Tanker,NATALIJA GONCHAROVA,20.25201,54.68644,20.25204,54.68639,2016-12-17T17:03:02Z,5.891240310328638
Pleasure,SEDOV,20.14883,54.67809,20.1488,54.678,2016-12-20T05:55:02Z,10.203117761357818
Cargo,AMERDIJK,19.8496,54.655,19.89502,54.63272,2016-12-13T18:39:03Z,3835.555788330813
Tug,NADEZHDA,20.38051,54.6896,20.36606,54.68936,2016-12-19T09:57:03Z,930.147296197195
Cargo,AFRICAN GROUSE,20.80092,55.73736,19.95943,55.11497,2016-12-17T02:35:06Z,87325.44119720535
Cargo,AFRICAN MAGNOLIA,20.21182,54.68866,20.21381,54.68829,2016-12-17T13:39:03Z,134.50811726226829
Tug,[SAT-AIS],19.91167,54.64667,19.91167,54.64667,2016-12-13T23:59:02Z,0
Cargo,POLA MUROM,30.00686,59.92054,30.021,59.91764,2016-12-13T22:43:03Z,852.4457872621228
Cargo,REINBEK,30.08347,59.90487,30.09799,59.90187,2016-12-13T20:17:04Z,876.6424373298223
Unspecified,VTS 2734463,30.47185,59.8646,30.47185,59.8646,2016-12-20T11:11:04Z,0
Unspecified,VTS 2734492,30.22583,59.93667,30.22619,59.93639,2016-12-13T12:39:04Z,37.07530878395388
Cargo,VARVARA,30.04302,59.91301,30.05415,59.91079,2016-12-13T11:33:03Z,668.4986085075274
Cargo,PIRITA,30.22628,59.87857,30.22568,59.87837,2016-12-14T00:45:03Z,40.23889347739664
Cargo,WILHELM,30.2269,59.89277,30.22716,59.89294,2016-12-13T12:09:03Z,23.85189814078922
Cargo,BELBEK,30.00478,59.92099,30.02597,59.91674,2016-12-15T10:09:03Z,1273.4659094779367
Tanker,TEKOS,30.22828,59.8825,30.2292,59.88132,2016-12-13T22:15:03Z,141.0516154681222
Cargo,HVITANES,30.02093,59.91746,30.03516,59.91454,2016-12-13T18:51:03Z,858.0049606838645
Tanker,CPO GERMANY,30.02949,59.91595,30.05059,59.91166,2016-12-15T10:01:05Z,1270.638418353805
Cargo,PHANTOM,18.99969,54.78657,30.00041,59.92157,2016-12-18T14:37:01Z,871651.0939675989
Cargo,SUEDEROOG,30.22363,59.89033,30.20375,59.87295,2016-12-14T10:09:03Z,2230.7711470309137
Cargo,FAST HERMAN,30.22852,59.91337,30.21549,59.89684,2016-12-13T14:07:04Z,1978.6389799051626
